Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
LAUKI SMOOTHIE (lAukI smUthI),100g,5.5,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LEMON CORIANDER SOUP (nIMbU),30g,49.0,2.67,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
LENTIL SOUP (dAla kA sUpa),100g,81.4,2.03,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
MIX VEGETABLE SOUP (sabjI kA sUpa milAeM),30g,114.4,10.6,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
MIX VEGETABLE SOUP (sabjI kA sUpa milAeM),100g,114.0,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
OATS VEGETABLE SOUP (jaI kI vanaspati sUpa),150g,35.0,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RAGI SOUP (rAgI sUpa),100ml,89.0,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
RED MASOOR DAL KHICHDI (reDa masUra dAla khicar3I),100g,128.5,4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
STREAM VEGETABLE (sTrIma sabjI),100g,43.0,2.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
SWEET CORN SOUP (svITa kaॉrna sUpa),30g,89.0,5.8,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
TOMATO SOUP (TamATara kA sUpa),100g,49.0,2,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG JAU DALIYA (vega jau DAlIyA),100g,151.0,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG OATS KHICHDI (veja oTsa khicar3I),100g,136.0,5,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEG SAMA TEHRI (vega sAma terI),100g,171.0,5.4,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
VEGETABLE  SMOOTHIE (vanaspati smUthI),100g,25.0,0,Veg,E1,"Soups, Salads, and Light Meals",Dinner,E
PARBOILED RICE( USNA) (cAvala cAvala (yUesaenae)),30g,106.0,7,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SAMBHAR (sAMbhara),100g,9.0,0,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
SOYABEAN CURRY (soyAbIna karI),100g,155.6,12.1,Veg,E3,"curries, dals, rice dishes, and accompaniments",Dinner,E
MILK DALIYA (milka DAlIyA),180g,159.0,6,Veg,F1,Milk-Based Drinks,Bed Time,F
