Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code,Glycemic Load,Glycemic Index,,diebetes_restriction
Dried Dates,2 Number(7 gm),45,0.3,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Fruit Bowl,1 Large Bowl(120 gm),67,0.9,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Kaju,6 Number(8 gm),45,1.4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Khajur,2 Number(20 gm),62,0.6,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Namkeen Badam,5 Number(10 gm),58,2,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Pista,6 Number(4 gm),21,0.8,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Pistachios,1 Tbsp(8 gm),56,2,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Pistachios,6 Number(4 gm),21,0.8,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Pumpkin Sunflower Flax Seeds,1 Tbsp(15 gm),81,4,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Safed Til,1 Tbsp(10 gm),12,1.7,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Soaked Almonds Without Skin,6 Number(6 gm),37,1.3,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Soaked Walnuts,2 Number(10 gm),31,0.8,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Walnut,1 Small Bowl(30 gm),209,5,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Walnut,2 Number(10 gm),70,1.5,Veg,B2,"Fruits, Nuts, and Seeds",Mid Morning,B,,,,
Akki Roti,1 Medium(75 gm),284,4.6,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Aloo Gobi Paratha With Butter,1 Large(180 gm),293,6.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Bean Sprouts Cucumber Apple Salad With Honey Dressing,1 Small Bowl(66 gm),53,2.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Capsicum Salad,1 Medium Bowl(92 gm),55,1.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Capsicum Salad,1 Medium Bowl(92 gm),56,1.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Cucumber Salad Without Salt,1 Large Bowl(123 gm),36,1.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Cucumber Salad Without Salt,1 Small Bowl(62 gm),18,0.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Salad,1 Large Bowl(132 gm),44,1.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Carrot Salad,1 Medium Bowl(99 gm),33,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Beetroot Cucumber Salad,1 Large Bowl(42 gm),35,0.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Boiled Corn With Lemon,1 Large Bowl(120 gm),110,3.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Boiled Corn With Lemon,1 Medium Bowl(90 gm),82,2.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Capsicum Salad,1 Medium Bowl(92 gm),20,0.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Carrot Capsicum Salad,1 Large Bowl(75 gm),31,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Carrot Capsicum Salad,1 Medium Bowl(50 gm),23,0.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Carrot Salad,1 Large Bowl(123 gm),39,1.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Carrot Salad,1 Medium Bowl(92 gm),29,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Cucumber Carrot Salad,1 Large Bowl(123 gm),29,1.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Cucumber Carrot Salad,1 Medium Bowl(92 gm),22,0.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cabbage Tomato Salad,1 Medium Bowl(92 gm),20,0.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Capsicum Carrot Salad With Olive Oil,1 Medium Bowl(92 gm),82,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Carrot Corn Tomato Salad,1 Large Bowl(134 gm),66,1.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Carrot Cucumber Onion Salad,1 Medium Bowl(92 gm),32,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Carrot Cucumber Tomato Beetroot Salad,1 Large Bowl(123 gm),33,1.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Carrot Cucumber Tomato Beetroot Salad,1 Medium Bowl(92 gm),25,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Carrot Onion Salad,1 Large Bowl(123 gm),48,1.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cherry Tomato,2 Number(16 gm),4,0.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Chickpea Salad,1 Medium Bowl(99 gm),93,5.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Chickpea Tomato Salad,1 Small Bowl(71 gm),52,3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Chole Pudina Salad,1 Large Bowl(132 gm),100,6.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Corn Cucumber Tomato Onion Salad,1 Medium Bowl(92 gm),42,1.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Carrot Anar Salad,1 Medium Bowl(92 gm),25,0.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Carrot Radish Salad Without Salt,1 Medium Bowl(92 gm),24,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Salad,1 Medium Bowl(92 gm),17,0.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Soya Curd Raita,1 Small Bowl(92 gm),62,2.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Tomato Carrot Salad,1 Large Bowl(123 gm),29,1.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Tomato Carrot Salad,1 Medium Bowl(92 gm),22,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Tomato Onion Salad With Salt,1 Large Bowl(123 gm),33,1.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber Tomato Onion Salad With Salt,1 Medium Bowl(92 gm),25,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber,1 Large Bowl(120 gm),24,0.6,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Cucumber,1 Medium Bowl(90 gm),18,0.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Garlic Jowar Rotla With Ghee,1 Medium(85 gm),208,4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Green Salad With Olive Oil Vinegar Dressing,1 Large Bowl(123 gm),98,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Kachumber Salad,1 Medium Bowl(92 gm),34,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Kakdi Salad,1 Large Bowl(120 gm),22,0.6,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Kakdi Salad,1 Medium Bowl(90 gm),17,0.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Masoor Dal Khichdi,1 Large Bowl(141 gm),159,7.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Mix Salad Without Salt,1 Medium Bowl(92 gm),28,0.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Mixed Vegetable Paratha With Butter,2 Medium(140 gm),310,6.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Mixed Vegetable Salad,1 Medium Bowl(75 gm),26,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Moong Sprouts Salad,1 Medium Bowl(75 gm),72,4.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Onion Carrot Salad,1 Large Bowl(123 gm),47,1.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Onion Carrot Salad,1 Medium Bowl(92 gm),35,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Onion,1 Large Bowl(120 gm),59,1.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Onion,1 Medium Bowl(90 gm),44,1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Posto Rice,1 Large Bowl(141 gm),274,5.3,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Red Pumpkin Raita,1 Large Bowl(218 gm),192,3.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Soya Chunks and Vegetable Rice,1 Large Bowl(141 gm),230,7.8,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tamarind Vegetable Rice,1 Large Bowl(125 gm),181,4.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tomato Cucumber Salad,1 Large Bowl(123 gm),23,0.7,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tomato Cucumber Salad,1 Medium Bowl(92 gm),17,0.5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tomato Onion Carrot Cucumber Salad,1 Large Bowl(123 gm),36,1.2,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tomato Onion Carrot Cucumber Salad,1 Medium Bowl(92 gm),27,0.9,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Tossed Green Salad,1 Large Bowl(123 gm),36,1.1,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Vegetable Salad With Nuts,1 Large Bowl(132 gm),119,3.4,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Vegetable Stir Fry Rice,1 Large Bowl(113 gm),187,4.6,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Wholesome Khichdi,1 Large Bowl(141 gm),126,5,Veg,C1,"Salads, Parathas, and Rice-Based Meals",Lunch,C,,,,
Achari Gobi Kulcha With Less Ghee,1 Number(90 gm),194,5.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Akki Roti With Oil,1 Medium(75 gm),284,4.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Gobi Paratha With Less Ghee,1 Large(170 gm),286,6.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Gobi Paratha With Less Ghee,1 Medium(110 gm),185,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Gobi Paratha With Oil,1 Large(170 gm),341,6.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Kulcha With Less Ghee,1 Number(100 gm),199,5.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Paratha Without Oil,1 Medium(110 gm),163,3.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bajra Bhakri With Less Ghee,1 Large(80 gm),174,4.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bajra Bhakri With Less Ghee,1 Medium(60 gm),130,3.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bajra Bhakri With Less Oil,1 Large(115 gm),261,6.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bajra Roti,1 Medium(60 gm),175,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Barley Bajra Bhakri,2 Small(120 gm),308,8.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bay Leaf Rice,1 Large Bowl(141 gm),191,3.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Bay Leaf Rice,1 Medium Bowl(106 gm),144,2.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Beetroot Coconut Rice,1 Medium Bowl(106 gm),144,2.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Besan Roti With Less Oil,2 Medium(120 gm),305,8.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Besan Roti With Less Oil,2 Number(180 gm),168,4.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Besan Roti With Less Oil,2 Small(90 gm),229,6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Boondi Raita,1 Large Bowl(185 gm),296,5.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Boondi Raita,1 Medium Bowl(139 gm),222,4.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Butter Garlic Naan,1 Number(70 gm),197,4.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Butter Naan,1 Number(80 gm),232,5.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cabbage Paratha With Less Ghee,1 Medium(80 gm),172,3.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cabbage Paratha With Less Oil,1 Medium(80 gm),172,3.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cabbage Paratha With Less Oil,2 Large(200 gm),429,9.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cabbage Paratha With Less Oil,2 Number(76 gm),137,3.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cabbage Paratha With Oil,1 Medium(80 gm),175,3.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Chauli Usal Gravy,1 Large Bowl(200 gm),195,6.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Chawal,1 Large Bowl(141 gm),142,2.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cucumber Boondi Honey Raita,1 Large Bowl(185 gm),217,5.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Cucumber Soya Curd Raita,1 Medium Bowl(139 gm),94,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Dal Fry,1 Large Bowl(200 gm),229,9.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Garlic Jowar Rotla With Ghee,1 Small(65 gm),159,3.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Green Tomatao Raita,1 Large Bowl(185 gm),99,2.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jeera Rice,1 Large Bowl(141 gm),239,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jeera Rice,1 Large Bowl(240 gm),239,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jeera Rice,1 Medium Bowl(180 gm),179,3.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jowar Bajra Roti With Less Ghee,1 Medium(60 gm),170,3.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jowar Bajra Roti With Less Ghee,1 Small(50 gm),142,3.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jowar Bajra Roti Without Oil,2 Medium(120 gm),319,7.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Jowar Bhakri With Oil,2 Small(120 gm),336,8.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Khichdi With Potatoes,1 Medium Bowl(150 gm),110,3.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti With Butter,2 Medium(120 gm),346,6.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti With Less Ghee,2 Medium(120 gm),328,6.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti With Less Oil,2 Medium(170 gm),455,8.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti With Oil,2 Medium(120 gm),310,6.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti,2 Large(170 gm),439,8.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Makki Roti,2 Medium(120 gm),310,6.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Masala Roti,1 Medium(60 gm),175,4.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Masala Roti,2 Small(100 gm),290,6.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Masala Roti,2 Small(60 gm),290,6.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Masoor Dal Khichdi,1 Medium Bowl(106 gm),119,5.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mini Methi Thalipeeth,1 Large(60 gm),159,4.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mix Vegetable Paneer Paratha With Less Ghee,1 Medium(70 gm),175,5.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mixed Vegetable Paratha With Less Ghee,1 Medium(68 gm),156,4.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mixed Vegetable Paratha With Less Oil,1 Large(90 gm),201,5.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mixed Vegetable Paratha With Less Oil,1 Medium(70 gm),156,4.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Mixed Vegetable Paratha With Oil,1 Medium(70 gm),179,4.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Multigrain Bhakri With Less Ghee,1 Medium(60 gm),177,4.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Multigrain Bhakri Without Oil,1 Medium(90 gm),262,6.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Onion Kulcha With Butter,2 Number(160 gm),370,7.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Onion Raita,1 Large Bowl(100 gm),122,3.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Onion Tomato Raita,1 Large Bowl(185 gm),94,2.8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Palak Ragi Khichdi,1 Large Bowl(141 gm),127,5.7,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Phulka With Less Ghee,1 Medium(60 gm),163,3.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Plain Kulcha With Butter,1 Number(50 gm),167,3.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Pudina Paratha Without Oil,2 Large(150 gm),312,8.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Purple Cabbage Roti With Oil,2 Number(60 gm),124,3.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Ragi Alsi Roti,1 Medium(65 gm),156,4.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Ragi Bhakri With Oil,1 Large(115 gm),309,7.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Ragi Mudde,3 Number(135 gm),155,3.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Red Rice Without Salt,1 Large Bowl(141 gm),143,3.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Red Rice Without Salt,1 Medium Bowl(106 gm),107,2.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Roti With Less Oil,1 Medium(60 gm),141,3.6,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Rumali Roti With Oil,1 Number(73 gm),216,5.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Sattu Paratha With Less Ghee,2 Medium(130 gm),390,10.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti With Less Oil,1 Large(85 gm),250,9.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti With Less Oil,2 Medium(120 gm),353,13.4,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti With Less Oil,2 Number(59 gm),92,3.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti Without Oil,1 Large(85 gm),226,8.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti Without Oil,2 Medium(130 gm),346,13,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti Without Oil,2 Number(58 gm),80,3.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Soya Atta Roti Without Oil,2 Small(80 gm),213,8,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Spinach Rice,1 Medium Bowl(106 gm),113,2.9,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Tamarind Vegetable Rice,1 Medium Bowl(94 gm),136,3.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Tandoori Roti,2 Number(140 gm),476,12.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Til Rice,1 Large Bowl(141 gm),200,4.2,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Til Rice,1 Medium Bowl(100 gm),150,3.1,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Wheat Ragi Roti Without Oil,2 Medium(120 gm),321,9.5,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Wheat Ragi Roti Without Oil,2 Small(80 gm),214,6.3,Veg,C2,"Rotis, Parathas, Rice, and Accompaniments",Lunch,C,,,,
Aloo Baingan Curry,1 Large Bowl(178 gm),142,3.1,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Aloo Baingan Curry,1 Medium Bowl(134 gm),106,2.3,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Aloo Beans Sambhar,1 Large Bowl(214 gm),109,4.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Ambadi Dal,1 Medium Bowl(139 gm),76,3.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Bharwa Shimla Mirch,1 Number(85 gm),68,1.9,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Bhindi Kadhi,1 Large Bowl(200 gm),128,5.1,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Bhindi Kadhi,1 Medium Bowl(134 gm),96,3.4,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Boiled Chicken,1 Medium Bowl(90 gm),138,25,Non_Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Bottle Gourd Besan Kadhi,1 Medium Bowl(134 gm),122,4.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Bottle Gourd Tomato Curry,1 Medium Bowl(134 gm),63,1.8,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Brinjal Sambhar,1 Medium Bowl(146 gm),86,2.9,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Cabbage Sambhar,1 Medium Bowl(139 gm),110,3.8,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Carrot Rasam,1 Medium Bowl(136 ml),45,1.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Chaash Kala Namak Sahit,1 Large Glass(250 ml),33,2.6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Chocolate Khajur Nuts Ladoo,2 Large(80 gm),377,5.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Coconut Coriander Chutney,1 Small Bowl(84 gm),130,2.8,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Coconut Kaddu Kadhi,1 Large Bowl(200 gm),329,6,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Cow Milk Curd Without Sugar,1 Large Bowl(160 gm),111,4.5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Curd With Salt,1 Large Bowl(160 gm),111,4.5,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Curd With Salt,1 Large Bowl(185 gm),128,5.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Curd With Salt,1 Medium Bowl(139 gm),96,3.9,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Curd,1 Large Bowl(185 gm),128,5.2,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Curd,1 Medium Bowl(139 gm),96,3.9,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Daal Makhani,1 Large Bowl(200 gm),222,8.7,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
Dal Palak,1 Large Bowl(186 gm),172,7.1,Veg,C3,"Curries, Dals, and Side Dishes",Lunch,C,,,,
